seed,j_raw,j_disc,rel_error,time_raw,time_disc
4437,29.89673904,28.12558286,0.059242454,96.36220956,2.177560568
6282,33.26814566,30.60484944,0.080055445,93.35205293,2.042257547
3818,28.32991476,26.55684927,0.062586333,93.64945555,2.484253168
6119,24.12079561,21.87729048,0.093011241,93.62404466,0.521988869
4083,31.57973473,28.9204039,0.084210043,91.51187348,1.973105907
7696,37.04972415,33.39032676,0.098769896,92.10950637,0.557448626
1667,25.22446906,23.09439777,0.084444643,95.82581162,1.028371572
2806,40.66613105,36.23429967,0.108980895,95.33505511,1.48645401
2788,41.18562997,37.42309613,0.091355501,92.90129161,0.448777437
9992,34.93137092,33.20539236,0.049410559,94.42207789,1.751520157
,,,0.081206701,93.91,1.45
